QueryA;QueryB;Boomerang_res;Boomerang_time(ms);Boomerang_timeout;Sridharan_res;Sridharan_time(ms);Sridharan_timeout;Dacong_res;Dacong_time(ms);Dacong_timeout
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleContextImpl: org.osgi.framework.ServiceRegistration registerService(java.lang.String[],java.lang.Object,java.util.Dictionary)> $r7 = r0.framework,r0 (BundleContextImpl.registerService));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleContextImpl: void <init>(org.eclipse.osgi.framework.internal.core.BundleHost)> r0.framework = $r3,r0 (BundleContextImpl.<init>));true;-1;true;true;-1;true;true;3;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleLoader: void addDynamicImportPackage(java.lang.String[])> r0.loaderFlags = $b2,r0 (BundleLoader.addDynamicImportPackage));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleLoader: void close()> r0.loaderFlags = $b4,r0 (BundleLoader.close));true;-1;true;true;-1;true;true;101;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.ServiceUse: void releaseService()> r0.useCount = varReplacer5170,r0 (ServiceUse.releaseService));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.ServiceUse: boolean ungetService()> $i0 = r0.useCount,r0 (ServiceUse.ungetService));true;-1;true;true;-1;true;true;1;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_filter(org.eclipse.osgi.framework.internal.core.FilterImpl)> r0.pos = $i7,r0 (FilterImpl$Parser.parse_filter));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_filtercomp(org.eclipse.osgi.framework.internal.core.FilterImpl)> r0.pos = $i7,r0 (FilterImpl$Parser.parse_filtercomp));true;74;false;true;403;false;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleCombinedPermissions: void setAssignedPermissions(org.eclipse.osgi.framework.internal.core.BundlePermissionCollection,boolean)> r0.assigned = r1,r0 (BundleCombinedPermissions.setAssignedPermissions));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleCombinedPermissions: boolean implies(java.security.Permission)> $r8 = r0.assigned,r0 (BundleCombinedPermissions.implies));true;-1;true;true;-1;true;true;2;false
BackwardQuery: (<org.eclipse.osgi.internal.profile.DefaultProfileLogger: java.io.File getProfileLogFile()> $r5 = r0.logFileName,r0 (DefaultProfileLogger.getProfileLogFile));BackwardQuery: (<org.eclipse.osgi.internal.profile.DefaultProfileLogger: void initProps()> r0.logFileName = r11,r0 (DefaultProfileLogger.initProps));true;-1;true;true;554;false;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.KeyedHashSet: void expand()> r0.elements = $r4,r0 (KeyedHashSet.expand));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.KeyedHashSet: boolean add(org.eclipse.osgi.framework.internal.core.KeyedElement)> $r9 = r0.elements,r0 (KeyedHashSet.add));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<org.eclipse.core.runtime.adaptor.EclipseLog: boolean checkLogFileSize()> $r24 = r0.writer,r0 (EclipseLog.checkLogFileSize));BackwardQuery: (<org.eclipse.core.runtime.adaptor.EclipseLog: void log(org.eclipse.osgi.framework.log.FrameworkLogEntry)> r0.writer = $r11,r0 (EclipseLog.log));false;1;false;true;394;false;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_filtercomp(org.eclipse.osgi.framework.internal.core.FilterImpl)> r0.pos = $i5,r0 (FilterImpl$Parser.parse_filtercomp));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_item(org.eclipse.osgi.framework.internal.core.FilterImpl)> r0.pos = $i25,r0 (FilterImpl$Parser.parse_item));true;68;false;true;387;false;true;0;false
BackwardQuery: (<org.osgi.framework.AdminPermission: void <init>(java.lang.String,int)> r0.filter = r1,r0 (AdminPermission.<init>));BackwardQuery: (<org.osgi.framework.AdminPermission: org.osgi.framework.Filter getFilterImpl()> $r9 = r0.filter,r0 (AdminPermission.getFilterImpl));true;-1;true;true;-1;true;true;0;false
