QueryA;QueryB;Boomerang_res;Boomerang_time(ms);Boomerang_timeout;Sridharan_res;Sridharan_time(ms);Sridharan_timeout;Dacong_res;Dacong_time(ms);Dacong_timeout
BackwardQuery: (<org.apache.lucene.search.MultiTermQuery: void <init>(org.apache.lucene.index.Term)> r0.term = r1,r0 (MultiTermQuery.<init>));BackwardQuery: (<org.apache.lucene.search.MultiTermQuery: java.lang.String toString(java.lang.String)> $r4 = r0.term,r0 (MultiTermQuery.toString));true;-1;true;true;-1;true;true;-1;true
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_1(int,int)> r0.jjnewStateCnt = varReplacer2396,r0 (QueryParserTokenManager.jjMoveNfa_1));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_3(int,int)> $i16 = r0.jjnewStateCnt,r0 (QueryParserTokenManager.jjMoveNfa_3));true;-1;true;true;331;false;true;0;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: void ReInit(org.apache.lucene.queryParser.CharStream)> r0.jj_ntk = varReplacer1336,r0 (QueryParser.ReInit));BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: int Conjunction()> $i6 = r0.jj_ntk,r0 (QueryParser.Conjunction));true;652;false;true;370;false;true;0;false
BackwardQuery: (<org.apache.lucene.search.MultiPhraseQuery: void <init>()> r0.positions = $r2,r0 (MultiPhraseQuery.<init>));BackwardQuery: (<org.apache.lucene.search.MultiPhraseQuery: int[] getPositions()> $r2 = r0.positions,r0 (MultiPhraseQuery.getPositions));true;-1;true;true;-1;true;true;-1;true
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_3(int,int)> r0.jjnewStateCnt = varReplacer2287,r0 (QueryParserTokenManager.jjMoveNfa_3));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: void jjCheckNAdd(int)> r0.jjnewStateCnt = $i4,r0 (QueryParserTokenManager.jjCheckNAdd));true;-1;true;true;325;false;true;0;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: void <init>(org.apache.lucene.queryParser.CharStream)> r0.jj_ntk = varReplacer1798,r0 (QueryParser.<init>));BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Term(java.lang.String)> $i60 = r0.jj_ntk,r0 (QueryParser.Term));true;617;false;true;265;false;true;0;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: void ReInit(org.apache.lucene.queryParser.CharStream)> r0.jjnewStateCnt = varReplacer2411,r0 (QueryParserTokenManager.ReInit));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_3(int,int)> $i63 = r0.jjnewStateCnt,r0 (QueryParserTokenManager.jjMoveNfa_3));true;-1;true;true;276;false;true;1;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_0(int,int)> $c27 = r0.curChar,r0 (QueryParserTokenManager.jjMoveNfa_0));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_1(int,int)> r0.curChar = $c18,r0 (QueryParserTokenManager.jjMoveNfa_1));true;-1;true;true;278;false;true;0;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Term(java.lang.String)> r89.image = $r50,r89 (QueryParser.Term));BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Term(java.lang.String)> $r35 = r91.image,r91 (QueryParser.Term));true;-1;true;true;-1;true;true;258;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_1(int,int)> r0.jjnewStateCnt = i33,r0 (QueryParserTokenManager.jjMoveNfa_1));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_3(int,int)> r0.jjnewStateCnt = $i72,r0 (QueryParserTokenManager.jjMoveNfa_3));true;-1;true;true;277;false;true;0;false
